epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8653,3.21351,4.22437,3.9215,0.20236,0.02285,0.00057,0.0001,3.53007,4.93539,3.95799,0.000368004,0.000368004,0.000368004
2,171.911,2.46654,3.58683,2.99352,0.14224,0.09333,0.01989,0.00553,2.69834,4.60619,3.1436,0.000733464,0.000733464,0.000733464
3,261.526,2.08316,3.2571,2.56138,0.09054,0.10937,0.03466,0.01059,2.60689,3.82127,3.04949,0.00109404,0.00109404,0.00109404
4,350.796,1.91504,3.07304,2.37185,0.11658,0.17525,0.05555,0.01788,2.44822,3.64094,2.83042,0.001089,0.001089,0.001089
5,440.429,1.79744,2.92456,2.25042,0.16574,0.1537,0.07633,0.02479,2.3732,3.29694,2.71228,0.00108167,0.00108167,0.00108167
6,529.502,1.71094,2.78149,2.15153,0.42458,0.14643,0.14436,0.05582,2.26716,3.15347,2.61057,0.00107434,0.00107434,0.00107434
7,618.326,1.66886,2.68442,2.08975,0.25027,0.25132,0.16082,0.07176,2.18925,3.44215,2.58388,0.001067,0.001067,0.001067
8,707.18,1.60128,2.58621,2.02415,0.40796,0.20957,0.22045,0.08267,2.26132,3.01564,2.58083,0.00105967,0.00105967,0.00105967
9,796.528,1.59353,2.52412,1.9989,0.38937,0.23635,0.22094,0.09566,2.14939,2.78204,2.49851,0.00105234,0.00105234,0.00105234
10,886.008,1.55745,2.4509,1.96135,0.38163,0.26864,0.23027,0.09304,2.17513,2.96442,2.47872,0.00104501,0.00104501,0.00104501
11,975.356,1.51923,2.38951,1.9327,0.33831,0.28602,0.20037,0.07554,2.28369,2.85396,2.5607,0.00103767,0.00103767,0.00103767
12,1064.11,1.49653,2.3325,1.90325,0.41544,0.30445,0.29541,0.11326,2.21176,2.47838,2.51129,0.00103034,0.00103034,0.00103034
13,1152.63,1.47897,2.28442,1.88173,0.4424,0.30048,0.28455,0.12265,2.18252,2.64259,2.48244,0.00102301,0.00102301,0.00102301
14,1241.82,1.4682,2.2438,1.87651,0.42545,0.34083,0.32052,0.14446,2.09492,2.37964,2.35926,0.00101568,0.00101568,0.00101568
15,1330.88,1.43242,2.19618,1.82517,0.46561,0.36775,0.33986,0.14463,2.09184,2.41448,2.36545,0.00100834,0.00100834,0.00100834
16,1420.39,1.44283,2.15676,1.82455,0.49471,0.36225,0.36437,0.15971,2.09475,2.33667,2.3722,0.00100101,0.00100101,0.00100101
17,1510.02,1.43825,2.12247,1.81444,0.45749,0.33612,0.35553,0.1543,2.15613,2.30007,2.40354,0.000993678,0.000993678,0.000993678
18,1599.02,1.42891,2.0957,1.80602,0.54038,0.38935,0.37082,0.16518,2.08462,2.35166,2.31096,0.000986346,0.000986346,0.000986346
19,1687.68,1.40774,2.05595,1.78263,0.58352,0.36673,0.39732,0.17773,2.0768,2.33807,2.34819,0.000979013,0.000979013,0.000979013
20,1777.26,1.40851,2.01926,1.77583,0.57241,0.41293,0.40613,0.18486,1.98731,2.16625,2.26082,0.000971681,0.000971681,0.000971681
21,1866.13,1.39908,1.9933,1.76795,0.58748,0.40905,0.42603,0.1806,2.08089,2.19911,2.31688,0.000964348,0.000964348,0.000964348
22,1954.9,1.36487,1.95137,1.74459,0.54582,0.47366,0.46338,0.21923,1.95655,2.02093,2.21367,0.000957015,0.000957015,0.000957015
23,2044.31,1.3627,1.93384,1.73607,0.63592,0.44535,0.49133,0.21359,2.06154,2.00378,2.32181,0.000949683,0.000949683,0.000949683
24,2133.39,1.35067,1.89392,1.71865,0.61275,0.46954,0.48638,0.2205,2.02924,2.0251,2.26357,0.00094235,0.00094235,0.00094235
25,2222.71,1.3652,1.87735,1.73171,0.58494,0.46582,0.47051,0.22691,1.97191,1.98846,2.20441,0.000935018,0.000935018,0.000935018
26,2311.45,1.34102,1.85474,1.70656,0.65994,0.43731,0.47186,0.2125,2.06945,1.99224,2.30094,0.000927685,0.000927685,0.000927685
27,2401.13,1.343,1.8302,1.70251,0.64032,0.47515,0.51366,0.21673,2.04201,1.93836,2.25079,0.000920352,0.000920352,0.000920352
28,2490.18,1.33289,1.79851,1.69652,0.64373,0.47169,0.49786,0.22512,2.00212,1.92504,2.22782,0.00091302,0.00091302,0.00091302
29,2579.48,1.32989,1.77757,1.68135,0.61848,0.4332,0.46208,0.20755,2.06154,2.09147,2.29572,0.000905687,0.000905687,0.000905687
30,2668.41,1.30485,1.7359,1.67242,0.66238,0.47344,0.5211,0.25487,1.90792,1.86236,2.12307,0.000898355,0.000898355,0.000898355
31,2757.55,1.28867,1.72928,1.66485,0.69515,0.46267,0.51973,0.2445,1.96388,1.86971,2.17006,0.000891022,0.000891022,0.000891022
32,2847.21,1.29394,1.69298,1.66037,0.69881,0.49438,0.53141,0.24193,1.92715,1.80491,2.13905,0.000883689,0.000883689,0.000883689
33,2936.58,1.27662,1.65377,1.64649,0.65503,0.49788,0.547,0.25281,2.01044,1.77178,2.22221,0.000876357,0.000876357,0.000876357
34,3025.51,1.27695,1.66573,1.64444,0.65764,0.50182,0.53714,0.267,1.83596,1.77982,2.09671,0.000869024,0.000869024,0.000869024
35,3114.15,1.25471,1.64202,1.63031,0.7224,0.477,0.55952,0.26426,1.9172,1.73192,2.13466,0.000861692,0.000861692,0.000861692
36,3203.52,1.27178,1.6415,1.62779,0.70687,0.50685,0.56168,0.27267,1.85821,1.77582,2.08624,0.000854359,0.000854359,0.000854359
37,3292.54,1.25701,1.61614,1.62429,0.72553,0.49409,0.57257,0.26033,1.93884,1.68347,2.17816,0.000847026,0.000847026,0.000847026
38,3381.25,1.24742,1.59462,1.61247,0.67758,0.53995,0.58354,0.2818,1.83886,1.66688,2.07534,0.000839694,0.000839694,0.000839694
39,3470.25,1.24057,1.56628,1.60789,0.71026,0.53303,0.58789,0.27782,1.88459,1.69563,2.09476,0.000832361,0.000832361,0.000832361
40,3559.64,1.24246,1.55394,1.60666,0.70309,0.52312,0.58625,0.26957,1.90543,1.70184,2.11229,0.000825029,0.000825029,0.000825029
41,3649.21,1.23005,1.52736,1.58954,0.72892,0.56225,0.61557,0.31752,1.7916,1.52766,2.00909,0.000817696,0.000817696,0.000817696
42,3738.71,1.23475,1.53614,1.59058,0.75683,0.49746,0.60455,0.28353,1.93833,1.6435,2.14382,0.000810363,0.000810363,0.000810363
43,3828.05,1.22795,1.49996,1.5825,0.73946,0.53775,0.59148,0.29125,1.85256,1.62674,2.05726,0.000803031,0.000803031,0.000803031
44,3917.42,1.22685,1.49979,1.58891,0.67925,0.56912,0.61801,0.31269,1.77812,1.58724,1.99685,0.000795698,0.000795698,0.000795698
45,4006.07,1.21257,1.49392,1.58048,0.74822,0.52586,0.61463,0.29644,1.88367,1.54864,2.09647,0.000788366,0.000788366,0.000788366
46,4095.69,1.21927,1.48657,1.58052,0.7537,0.54205,0.61819,0.30398,1.88302,1.53996,2.10893,0.000781033,0.000781033,0.000781033
47,4184.7,1.20128,1.44237,1.56383,0.77431,0.52531,0.60713,0.26871,1.92759,1.57404,2.10918,0.0007737,0.0007737,0.0007737
48,4273.98,1.18547,1.43903,1.54711,0.80946,0.52215,0.62044,0.29935,1.8718,1.50173,2.0752,0.000766368,0.000766368,0.000766368
49,4362.86,1.20826,1.45482,1.56045,0.76007,0.57441,0.64247,0.3216,1.84151,1.4688,2.02948,0.000759035,0.000759035,0.000759035
50,4451.76,1.1753,1.40891,1.54491,0.78208,0.55257,0.62884,0.32663,1.78947,1.45964,2.00062,0.000751703,0.000751703,0.000751703
51,4540.86,1.18422,1.39831,1.54184,0.79418,0.58242,0.65244,0.2939,1.97056,1.51369,2.16847,0.00074437,0.00074437,0.00074437
52,4630.12,1.17311,1.37895,1.53658,0.76698,0.593,0.64716,0.31371,1.83014,1.50257,2.03483,0.000737037,0.000737037,0.000737037
53,4719.02,1.17652,1.37804,1.54217,0.73893,0.60282,0.6424,0.31833,1.79982,1.48855,2.01252,0.000729705,0.000729705,0.000729705
54,4808.22,1.16157,1.36299,1.53046,0.78011,0.60039,0.67618,0.32423,1.85757,1.40566,2.07182,0.000722372,0.000722372,0.000722372
55,4897.29,1.15545,1.34537,1.51864,0.75558,0.62271,0.66615,0.33865,1.75194,1.40675,1.97578,0.00071504,0.00071504,0.00071504
56,4986.73,1.15531,1.33076,1.51344,0.70581,0.60544,0.64687,0.31981,1.8187,1.48418,2.02737,0.000707707,0.000707707,0.000707707
57,5075.22,1.14197,1.3336,1.5138,0.7536,0.59336,0.65479,0.31663,1.86136,1.44934,2.06497,0.000700374,0.000700374,0.000700374
58,5164.46,1.14089,1.30558,1.50181,0.73472,0.63475,0.68077,0.32249,1.79803,1.37431,2.03624,0.000693042,0.000693042,0.000693042
59,5252.95,1.14468,1.3216,1.50372,0.71694,0.62987,0.65622,0.32542,1.81686,1.43916,2.00276,0.000685709,0.000685709,0.000685709
60,5341.82,1.13378,1.30102,1.50237,0.71753,0.61076,0.66914,0.32695,1.81473,1.40112,2.02249,0.000678377,0.000678377,0.000678377
61,5431.06,1.13625,1.2957,1.49785,0.73369,0.62857,0.6752,0.32038,1.86564,1.41762,2.02069,0.000671044,0.000671044,0.000671044
62,5519.98,1.12675,1.28713,1.49361,0.78172,0.60741,0.67742,0.33312,1.78756,1.41465,2.00935,0.000663711,0.000663711,0.000663711
63,5608.95,1.11686,1.26149,1.47917,0.79457,0.61363,0.69549,0.36199,1.70569,1.34066,1.93929,0.000656379,0.000656379,0.000656379
64,5697.66,1.11099,1.24921,1.47655,0.78994,0.59713,0.68141,0.33852,1.79514,1.37896,2.01204,0.000649046,0.000649046,0.000649046
65,5786.78,1.11515,1.25615,1.47988,0.78011,0.6483,0.68609,0.34539,1.80561,1.33031,1.99858,0.000641714,0.000641714,0.000641714
66,5875.81,1.11558,1.22944,1.47575,0.78748,0.63461,0.70586,0.35458,1.79731,1.32735,1.98718,0.000634381,0.000634381,0.000634381
67,5964.76,1.10349,1.2254,1.47046,0.7816,0.66389,0.71553,0.35296,1.78668,1.28837,1.97905,0.000627048,0.000627048,0.000627048
68,6053.83,1.10393,1.22468,1.46998,0.82335,0.65321,0.71086,0.35169,1.85115,1.29757,2.06267,0.000619716,0.000619716,0.000619716
69,6143.05,1.09434,1.2148,1.46111,0.7946,0.63448,0.71179,0.37154,1.74449,1.27554,1.96647,0.000612383,0.000612383,0.000612383
70,6232.36,1.09384,1.18016,1.45395,0.79172,0.66561,0.71969,0.36209,1.78812,1.25748,2.00257,0.000605051,0.000605051,0.000605051
71,6321.51,1.09214,1.20342,1.4612,0.76532,0.67475,0.72498,0.38311,1.68553,1.2487,1.89582,0.000597718,0.000597718,0.000597718
72,6410.87,1.08086,1.18553,1.44432,0.79614,0.63972,0.71369,0.37219,1.72172,1.26637,1.93424,0.000590385,0.000590385,0.000590385
73,6499.94,1.06862,1.17225,1.43889,0.79848,0.67495,0.72361,0.37332,1.74045,1.22894,1.99335,0.000583053,0.000583053,0.000583053
74,6589.15,1.06173,1.16738,1.4343,0.76039,0.66316,0.71289,0.36316,1.7741,1.27533,1.98613,0.00057572,0.00057572,0.00057572
