epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6678.5,1.08792,1.17547,1.45246,0.81341,0.6574,0.72045,0.36161,1.77485,1.25632,1.99027,0.000568388,0.000568388,0.000568388
76,6767.94,1.08161,1.16656,1.44044,0.74713,0.66212,0.71591,0.38245,1.68552,1.23024,1.91571,0.000561055,0.000561055,0.000561055
77,6857.11,1.0682,1.14577,1.43478,0.82846,0.62069,0.70929,0.36121,1.76028,1.24333,1.96431,0.000553722,0.000553722,0.000553722
78,6946.36,1.07125,1.13821,1.42417,0.73235,0.68457,0.71528,0.35678,1.78171,1.24772,1.98679,0.00054639,0.00054639,0.00054639
79,7035.2,1.03971,1.11258,1.40881,0.77998,0.67455,0.72101,0.38836,1.66164,1.2078,1.86725,0.000539057,0.000539057,0.000539057
80,7124.04,1.04628,1.11636,1.41758,0.8159,0.64991,0.71713,0.38858,1.65806,1.23461,1.87793,0.000531725,0.000531725,0.000531725
81,7213.01,1.04954,1.10157,1.41438,0.84564,0.64604,0.72696,0.36796,1.74629,1.22155,1.96811,0.000524392,0.000524392,0.000524392
82,7301.5,1.04867,1.12536,1.41412,0.78373,0.69348,0.73355,0.38637,1.71898,1.15584,1.91605,0.000517059,0.000517059,0.000517059
83,7390.44,1.02059,1.08094,1.3939,0.79691,0.65395,0.73228,0.3895,1.69858,1.17483,1.90061,0.000509727,0.000509727,0.000509727
84,7479.51,1.04352,1.10707,1.41137,0.81289,0.65997,0.72958,0.39387,1.66461,1.20022,1.87754,0.000502394,0.000502394,0.000502394
85,7568.43,1.03351,1.08695,1.40187,0.74954,0.68638,0.72986,0.38005,1.71535,1.19398,1.94634,0.000495062,0.000495062,0.000495062
86,7657.8,1.03451,1.0738,1.39435,0.77913,0.67377,0.71266,0.35547,1.78656,1.25954,2.00216,0.000487729,0.000487729,0.000487729
87,7746.32,1.02193,1.06246,1.39095,0.83091,0.66409,0.74277,0.40844,1.63947,1.17325,1.85346,0.000480396,0.000480396,0.000480396
88,7835.38,1.00945,1.05144,1.38079,0.81577,0.65195,0.72791,0.3886,1.67355,1.20141,1.89498,0.000473064,0.000473064,0.000473064
89,7924.65,1.02443,1.05151,1.38749,0.76457,0.69096,0.74057,0.39066,1.67857,1.18839,1.90347,0.000465731,0.000465731,0.000465731
90,8013.23,1.01207,1.04854,1.38162,0.79376,0.68039,0.7459,0.3942,1.68823,1.15222,1.91471,0.000458399,0.000458399,0.000458399
91,8101.94,1.01017,1.04945,1.38591,0.82997,0.66332,0.7441,0.39214,1.6571,1.17306,1.9037,0.000451066,0.000451066,0.000451066
92,8190.38,0.9984,1.03759,1.37312,0.81316,0.67346,0.73005,0.39675,1.61135,1.17747,1.86655,0.000443733,0.000443733,0.000443733
93,8279.44,1.00589,1.05037,1.38192,0.86267,0.66501,0.733,0.40105,1.64539,1.16135,1.87092,0.000436401,0.000436401,0.000436401
94,8368.77,0.9954,1.02834,1.36866,0.82663,0.68452,0.74005,0.40363,1.65539,1.1782,1.88994,0.000429068,0.000429068,0.000429068
95,8458.04,0.98542,1.01357,1.3668,0.84012,0.69198,0.75162,0.40258,1.69608,1.12854,1.92312,0.000421736,0.000421736,0.000421736
96,8547.73,0.98844,1.00202,1.35703,0.80971,0.68261,0.74276,0.40199,1.68748,1.18215,1.94045,0.000414403,0.000414403,0.000414403
97,8636.9,0.98572,1.00861,1.36242,0.81136,0.67273,0.73871,0.40947,1.63687,1.12077,1.87846,0.00040707,0.00040707,0.00040707
98,8725.79,0.98264,1.00259,1.35466,0.84916,0.67903,0.76011,0.41732,1.64041,1.07735,1.89625,0.000399738,0.000399738,0.000399738
99,8814.82,0.97139,0.99447,1.35042,0.81688,0.68627,0.74827,0.41249,1.60198,1.08619,1.84414,0.000392405,0.000392405,0.000392405
100,8903.52,0.98092,0.9954,1.35632,0.82212,0.69227,0.75324,0.41037,1.64351,1.08396,1.86273,0.000385073,0.000385073,0.000385073
101,8992.61,0.97536,0.98087,1.3511,0.81464,0.69689,0.75526,0.40809,1.67628,1.11219,1.90405,0.00037774,0.00037774,0.00037774
102,9081.86,0.97716,0.99187,1.35247,0.82532,0.71405,0.74936,0.40277,1.65864,1.11379,1.87927,0.000370407,0.000370407,0.000370407
103,9170.82,0.95759,0.9637,1.33986,0.79893,0.72092,0.75609,0.40536,1.65097,1.09796,1.87195,0.000363075,0.000363075,0.000363075
104,9260.12,0.97044,0.97926,1.34762,0.81064,0.69119,0.7395,0.40898,1.63653,1.13454,1.86237,0.000355742,0.000355742,0.000355742
105,9349.12,0.95504,0.95802,1.33564,0.82168,0.71397,0.76415,0.42598,1.57682,1.0883,1.82931,0.00034841,0.00034841,0.00034841
106,9437.7,0.95857,0.96702,1.34281,0.79715,0.71682,0.7489,0.41098,1.62242,1.07037,1.85639,0.000341077,0.000341077,0.000341077
107,9527.24,0.95106,0.95573,1.33008,0.80672,0.70238,0.75705,0.42294,1.58545,1.11322,1.81841,0.000333744,0.000333744,0.000333744
108,9616.29,0.95521,0.95627,1.33718,0.81621,0.70981,0.75784,0.41717,1.58385,1.11118,1.81975,0.000326412,0.000326412,0.000326412
109,9705.44,0.95618,0.9579,1.33299,0.78519,0.72488,0.7528,0.4217,1.59139,1.08922,1.83736,0.000319079,0.000319079,0.000319079
110,9794.43,0.93754,0.93972,1.32099,0.82552,0.71277,0.76529,0.41912,1.60388,1.06769,1.84123,0.000311747,0.000311747,0.000311747
111,9883.51,0.95958,0.94715,1.33696,0.8095,0.71006,0.7568,0.43238,1.57048,1.05705,1.81441,0.000304414,0.000304414,0.000304414
112,9972.37,0.93227,0.93284,1.32293,0.82728,0.70265,0.7509,0.41293,1.59303,1.06784,1.83041,0.000297081,0.000297081,0.000297081
113,10061.7,0.94359,0.92047,1.31558,0.83521,0.71483,0.75622,0.42837,1.55009,1.05902,1.79226,0.000289749,0.000289749,0.000289749
114,10150.7,0.9398,0.93484,1.3159,0.83867,0.7237,0.75273,0.42254,1.58092,1.07225,1.82364,0.000282416,0.000282416,0.000282416
115,10239.6,0.92663,0.91575,1.30949,0.82798,0.69084,0.76252,0.43271,1.58142,1.05733,1.82921,0.000275084,0.000275084,0.000275084
116,10328.6,0.92868,0.91412,1.31118,0.84039,0.71866,0.76392,0.42148,1.59212,1.08324,1.82427,0.000267751,0.000267751,0.000267751
117,10417.4,0.91848,0.9095,1.30353,0.81111,0.72978,0.76624,0.42982,1.56148,1.04519,1.79655,0.000260418,0.000260418,0.000260418
118,10506.1,0.92374,0.9047,1.30681,0.79927,0.72627,0.76105,0.43527,1.57445,1.03079,1.81806,0.000253086,0.000253086,0.000253086
119,10594.9,0.91606,0.89355,1.29832,0.79404,0.72769,0.76472,0.42825,1.58061,1.03551,1.8258,0.000245753,0.000245753,0.000245753
120,10683.8,0.9116,0.89663,1.29463,0.80198,0.715,0.75967,0.42432,1.55386,1.05889,1.79134,0.000238421,0.000238421,0.000238421
121,10772.8,0.90773,0.89172,1.30024,0.80154,0.71347,0.76368,0.42525,1.57269,1.07776,1.81268,0.000231088,0.000231088,0.000231088
122,10861.9,0.90912,0.87546,1.29028,0.82637,0.71865,0.76853,0.42958,1.5754,1.03688,1.81633,0.000223755,0.000223755,0.000223755
123,10950.9,0.90609,0.88074,1.29314,0.77767,0.73295,0.76085,0.42848,1.57283,1.02792,1.81834,0.000216423,0.000216423,0.000216423
124,11039.9,0.90313,0.87572,1.28886,0.81202,0.72205,0.76285,0.43743,1.52617,1.02686,1.76166,0.00020909,0.00020909,0.00020909
125,11128.9,0.89956,0.86844,1.28368,0.81124,0.72789,0.77072,0.44925,1.50723,1.01572,1.76433,0.000201758,0.000201758,0.000201758
126,11217.7,0.90002,0.87486,1.28249,0.79645,0.71906,0.76395,0.44265,1.54101,1.04069,1.7776,0.000194425,0.000194425,0.000194425
127,11306.6,0.8942,0.86986,1.28413,0.81769,0.72155,0.76373,0.43897,1.55369,1.01458,1.8018,0.000187092,0.000187092,0.000187092
128,11395.2,0.88868,0.86948,1.28268,0.82263,0.72015,0.7587,0.4413,1.53947,1.01729,1.78609,0.00017976,0.00017976,0.00017976
129,11483.5,0.89225,0.86894,1.28132,0.82592,0.73798,0.76656,0.43956,1.53086,1.01304,1.7848,0.000172427,0.000172427,0.000172427
130,11572.4,0.89196,0.87544,1.28823,0.82204,0.71149,0.76951,0.43678,1.54467,1.01918,1.78825,0.000165095,0.000165095,0.000165095
131,11660.9,0.88092,0.85174,1.27535,0.80239,0.73656,0.76699,0.44138,1.51679,0.99983,1.76308,0.000157762,0.000157762,0.000157762
132,11749.3,0.88386,0.85567,1.27357,0.81828,0.73538,0.76558,0.43826,1.54738,1.02942,1.78776,0.000150429,0.000150429,0.000150429
133,11837.7,0.87494,0.85135,1.27967,0.81106,0.74154,0.76003,0.42819,1.53789,1.04013,1.77555,0.000143097,0.000143097,0.000143097
134,11927.1,0.88025,0.85016,1.27228,0.81083,0.73573,0.76381,0.43799,1.50812,1.02718,1.75314,0.000135764,0.000135764,0.000135764
135,12015.8,0.87182,0.83763,1.26865,0.81407,0.75141,0.76894,0.44593,1.51948,1.02334,1.76667,0.000128432,0.000128432,0.000128432
136,12104.8,0.87481,0.8469,1.26547,0.82172,0.73486,0.76824,0.45024,1.49377,1.03062,1.74414,0.000121099,0.000121099,0.000121099
137,12193.9,0.86077,0.82423,1.25996,0.8189,0.73675,0.76885,0.4436,1.52386,1.03641,1.77144,0.000113766,0.000113766,0.000113766
138,12282.8,0.86865,0.82475,1.25987,0.83207,0.71464,0.77001,0.45288,1.49703,1.01058,1.74469,0.000106434,0.000106434,0.000106434
139,12371.5,0.85915,0.83128,1.26112,0.81117,0.73267,0.77023,0.44404,1.5264,1.00432,1.7795,9.91012e-05,9.91012e-05,9.91012e-05
140,12460.8,0.87153,0.83559,1.26532,0.80692,0.74765,0.7686,0.44741,1.52328,1.00054,1.77014,9.17686e-05,9.17686e-05,9.17686e-05
141,12547.5,0.8604,0.73605,1.26788,0.81,0.72282,0.7685,0.44123,1.53138,1.03327,1.78629,8.4436e-05,8.4436e-05,8.4436e-05
142,12633.8,0.84784,0.71141,1.25585,0.79311,0.74743,0.76716,0.44215,1.52383,1.03731,1.78161,7.71034e-05,7.71034e-05,7.71034e-05
143,12719.8,0.8374,0.70299,1.25244,0.79889,0.74795,0.76825,0.43989,1.52941,1.03351,1.77866,6.97708e-05,6.97708e-05,6.97708e-05
144,12806.1,0.83194,0.70064,1.24355,0.77837,0.74852,0.76172,0.43545,1.53612,1.04646,1.78555,6.24382e-05,6.24382e-05,6.24382e-05
145,12892.6,0.82813,0.69956,1.24444,0.8232,0.71753,0.77183,0.44675,1.5207,1.02468,1.78492,5.51056e-05,5.51056e-05,5.51056e-05
146,12978.8,0.8217,0.69191,1.23708,0.81314,0.72659,0.77299,0.44191,1.5226,1.01869,1.79009,4.7773e-05,4.7773e-05,4.7773e-05
147,13064.7,0.81502,0.68735,1.23566,0.82406,0.70787,0.77382,0.4422,1.52078,1.01785,1.78588,4.04404e-05,4.04404e-05,4.04404e-05
148,13151.1,0.81303,0.68013,1.2329,0.77729,0.75185,0.77551,0.44569,1.52189,1.0127,1.78684,3.31078e-05,3.31078e-05,3.31078e-05
149,13237.3,0.81734,0.68689,1.22964,0.78286,0.75087,0.76992,0.44303,1.52024,1.01679,1.78377,2.57752e-05,2.57752e-05,2.57752e-05
150,13323.7,0.81468,0.68349,1.23335,0.79392,0.74261,0.76938,0.44274,1.51861,1.00878,1.77899,1.84426e-05,1.84426e-05,1.84426e-05
