epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3748.4,1.22468,1.51086,1.59063,0.69746,0.55987,0.59015,0.27387,1.88853,1.57485,2.10537,0.000735204,0.000735204,0.000735204
43,3837.82,1.22479,1.49761,1.58594,0.70422,0.54186,0.59183,0.27991,1.87936,1.61182,2.08159,0.000726038,0.000726038,0.000726038
44,3927.21,1.21532,1.48078,1.58136,0.68572,0.58076,0.59452,0.29254,1.84791,1.63246,2.06438,0.000716873,0.000716873,0.000716873
45,4015.95,1.21402,1.48653,1.58425,0.70088,0.54042,0.5934,0.29959,1.80427,1.49717,2.03251,0.000707707,0.000707707,0.000707707
46,4105.49,1.20568,1.45101,1.57331,0.76903,0.54126,0.618,0.29716,1.88895,1.50835,2.09801,0.000698541,0.000698541,0.000698541
47,4194.53,1.20176,1.43398,1.56613,0.70872,0.5753,0.60575,0.27464,1.94046,1.5345,2.10224,0.000689376,0.000689376,0.000689376
48,4284.36,1.17691,1.41719,1.54512,0.70938,0.57504,0.61952,0.31964,1.79583,1.53363,2.01501,0.00068021,0.00068021,0.00068021
49,4373.88,1.19807,1.44092,1.55513,0.79574,0.59402,0.66869,0.33912,1.81548,1.433,2.00611,0.000671044,0.000671044,0.000671044
50,4463.22,1.16334,1.38379,1.53884,0.78195,0.57626,0.65116,0.33727,1.80555,1.43813,2.00944,0.000661878,0.000661878,0.000661878
51,4553.06,1.17859,1.38866,1.53695,0.74402,0.62313,0.64933,0.33084,1.78676,1.46352,1.98167,0.000652712,0.000652712,0.000652712
52,4642.6,1.16211,1.36096,1.52956,0.78079,0.58942,0.65846,0.34104,1.77773,1.44508,1.99378,0.000643547,0.000643547,0.000643547
53,4732.15,1.15881,1.35501,1.53365,0.75496,0.60789,0.65814,0.34009,1.74872,1.42231,1.9752,0.000634381,0.000634381,0.000634381
54,4821.11,1.15922,1.35754,1.53094,0.7843,0.61079,0.67261,0.33369,1.80049,1.40932,2.00026,0.000625215,0.000625215,0.000625215
55,4910.43,1.14819,1.33089,1.51399,0.75099,0.62629,0.65857,0.34324,1.73759,1.44107,1.95349,0.000616049,0.000616049,0.000616049
56,4999.76,1.14267,1.30302,1.50163,0.77484,0.59983,0.67655,0.33748,1.80824,1.40012,2.00199,0.000606884,0.000606884,0.000606884
57,5088.68,1.13848,1.30971,1.51049,0.7108,0.6151,0.65042,0.33522,1.80321,1.40194,1.95801,0.000597718,0.000597718,0.000597718
58,5177.75,1.14288,1.30788,1.50487,0.7352,0.62822,0.66846,0.32924,1.8487,1.34769,2.0469,0.000588552,0.000588552,0.000588552
59,5266.16,1.13468,1.3016,1.50008,0.76387,0.64534,0.67275,0.33667,1.8116,1.3833,1.99032,0.000579386,0.000579386,0.000579386
60,5355.33,1.12061,1.28068,1.49379,0.75832,0.6181,0.6664,0.32837,1.82619,1.44352,2.0133,0.000570221,0.000570221,0.000570221
61,5444.76,1.13335,1.28957,1.49449,0.8303,0.59764,0.66704,0.33345,1.80696,1.4725,2.00033,0.000561055,0.000561055,0.000561055
62,5533.76,1.11202,1.25889,1.48421,0.7755,0.61133,0.66496,0.33258,1.79682,1.37643,1.98296,0.000551889,0.000551889,0.000551889
63,5623.16,1.11308,1.25817,1.48066,0.81098,0.62904,0.7033,0.36149,1.72376,1.30637,1.93451,0.000542723,0.000542723,0.000542723
64,5712.02,1.10527,1.24078,1.47303,0.79676,0.6218,0.67558,0.35034,1.75855,1.35266,1.96155,0.000533558,0.000533558,0.000533558
65,5801.2,1.10148,1.23597,1.47275,0.76497,0.63156,0.69044,0.35115,1.79259,1.3109,1.97897,0.000524392,0.000524392,0.000524392
66,5890.53,1.09549,1.20358,1.46124,0.83517,0.60949,0.70029,0.35346,1.77165,1.29756,1.98503,0.000515226,0.000515226,0.000515226
67,5979.1,1.08828,1.20891,1.46141,0.82954,0.6128,0.6918,0.3432,1.82833,1.33516,2.02509,0.00050606,0.00050606,0.00050606
68,6068.26,1.09148,1.21041,1.46285,0.77089,0.65416,0.69581,0.34013,1.82322,1.32249,2.01688,0.000496895,0.000496895,0.000496895
69,6157.81,1.08533,1.18256,1.4519,0.78325,0.65745,0.70245,0.37566,1.709,1.30308,1.92594,0.000487729,0.000487729,0.000487729
70,6247.26,1.08038,1.17056,1.44505,0.83485,0.62514,0.69498,0.35892,1.77792,1.30118,1.98495,0.000478563,0.000478563,0.000478563
71,6336.51,1.07556,1.185,1.45072,0.8065,0.66087,0.72754,0.38236,1.69664,1.25841,1.89409,0.000469397,0.000469397,0.000469397
72,6425.73,1.06847,1.16207,1.43714,0.82049,0.65939,0.71733,0.36456,1.73749,1.27558,1.95426,0.000460232,0.000460232,0.000460232
73,6514.9,1.06201,1.15181,1.43719,0.82872,0.64369,0.719,0.36774,1.74364,1.24392,1.9577,0.000451066,0.000451066,0.000451066
74,6604.22,1.04471,1.13884,1.42532,0.78357,0.659,0.69844,0.36005,1.74642,1.27963,1.94262,0.0004419,0.0004419,0.0004419
75,6693.26,1.07194,1.1554,1.43899,0.86257,0.61612,0.70385,0.35671,1.79358,1.32642,1.9933,0.000432734,0.000432734,0.000432734
76,6782.45,1.05551,1.13796,1.42224,0.82511,0.64551,0.71383,0.3919,1.67387,1.27095,1.88116,0.000423569,0.000423569,0.000423569
77,6871.75,1.05576,1.12432,1.42504,0.83695,0.64404,0.71028,0.35308,1.78039,1.28958,1.97846,0.000414403,0.000414403,0.000414403
78,6961.01,1.04592,1.10522,1.40855,0.75184,0.69821,0.71671,0.36753,1.73047,1.25,1.92545,0.000405237,0.000405237,0.000405237
79,7050.2,1.02295,1.09524,1.39951,0.78258,0.66106,0.72114,0.38308,1.68252,1.19766,1.89763,0.000396071,0.000396071,0.000396071
80,7138.98,1.03608,1.10182,1.41413,0.83259,0.6387,0.72441,0.38256,1.67895,1.22573,1.87871,0.000386906,0.000386906,0.000386906
81,7228.05,1.02436,1.07464,1.39832,0.82465,0.66096,0.73567,0.37309,1.73975,1.24873,1.93877,0.00037774,0.00037774,0.00037774
82,7316.47,1.02803,1.08877,1.39918,0.80258,0.67625,0.72667,0.38628,1.71961,1.22513,1.93385,0.000368574,0.000368574,0.000368574
83,7405.63,1.00371,1.06038,1.38741,0.78321,0.68926,0.74395,0.38886,1.69897,1.17778,1.90533,0.000359409,0.000359409,0.000359409
84,7494.48,1.0289,1.08311,1.40478,0.78644,0.67044,0.71679,0.38152,1.65878,1.24713,1.88066,0.000350243,0.000350243,0.000350243
85,7583.16,1.0212,1.07162,1.39871,0.85471,0.65354,0.71927,0.37387,1.71961,1.25055,1.92579,0.000341077,0.000341077,0.000341077
86,7672.46,1.01808,1.05274,1.38339,0.82063,0.65073,0.72691,0.36805,1.77747,1.23886,2.00454,0.000331911,0.000331911,0.000331911
87,7760.96,1.01482,1.05195,1.38793,0.84486,0.65509,0.73857,0.399,1.63373,1.17664,1.85835,0.000322745,0.000322745,0.000322745
88,7849.74,0.99859,1.03448,1.37832,0.87921,0.64187,0.73559,0.36987,1.73305,1.20658,1.96562,0.00031358,0.00031358,0.00031358
89,7938.84,1.01144,1.03842,1.38226,0.81254,0.6599,0.74118,0.39752,1.66613,1.18444,1.8908,0.000304414,0.000304414,0.000304414
90,8027.4,1.00369,1.03462,1.37854,0.78976,0.68669,0.73271,0.38133,1.7238,1.21706,1.9377,0.000295248,0.000295248,0.000295248
91,8115.8,0.99339,1.02954,1.37735,0.82402,0.67221,0.73726,0.39895,1.66977,1.18212,1.91807,0.000286083,0.000286083,0.000286083
92,8204.75,0.98254,1.02049,1.36379,0.81087,0.65852,0.72975,0.40068,1.64247,1.19911,1.86505,0.000276917,0.000276917,0.000276917
93,8293.66,0.98809,1.03389,1.37104,0.84314,0.67131,0.73273,0.40243,1.65099,1.17278,1.85358,0.000267751,0.000267751,0.000267751
94,8382.23,0.98556,1.00104,1.36412,0.79439,0.69004,0.73966,0.40481,1.64154,1.15036,1.85042,0.000258585,0.000258585,0.000258585
95,8471.34,0.96372,0.98616,1.35187,0.83049,0.66431,0.72164,0.40411,1.62166,1.17607,1.83715,0.00024942,0.00024942,0.00024942
96,8560.58,0.97469,0.99287,1.35109,0.808,0.70291,0.74549,0.40388,1.65208,1.16781,1.85345,0.000240254,0.000240254,0.000240254
97,8649.3,0.96582,0.97885,1.34831,0.7735,0.71597,0.73678,0.40052,1.62922,1.16713,1.85432,0.000231088,0.000231088,0.000231088
98,8737.76,0.96524,0.98037,1.34631,0.80466,0.68446,0.73165,0.4111,1.60957,1.1405,1.82663,0.000221922,0.000221922,0.000221922
99,8826.54,0.95185,0.97682,1.33912,0.79582,0.7151,0.74938,0.41302,1.60118,1.1163,1.83407,0.000212757,0.000212757,0.000212757
100,8915.36,0.96681,0.98548,1.34861,0.79397,0.72554,0.74998,0.40617,1.64432,1.10753,1.87699,0.000203591,0.000203591,0.000203591
101,9003.91,0.95384,0.9635,1.33746,0.80471,0.71172,0.74708,0.40228,1.6593,1.10797,1.902,0.000194425,0.000194425,0.000194425
102,9093.13,0.94718,0.96248,1.33732,0.78758,0.70375,0.73692,0.40623,1.62556,1.13929,1.86658,0.000185259,0.000185259,0.000185259
103,9181.86,0.94807,0.95595,1.33572,0.78582,0.72603,0.75177,0.4175,1.60433,1.10379,1.83759,0.000176094,0.000176094,0.000176094
104,9271.01,0.95153,0.95793,1.33482,0.80342,0.69385,0.74995,0.41461,1.60981,1.1184,1.84021,0.000166928,0.000166928,0.000166928
105,9359.93,0.94315,0.94247,1.3288,0.80673,0.7137,0.7545,0.41684,1.59047,1.105,1.82552,0.000157762,0.000157762,0.000157762
106,9448.83,0.93936,0.94875,1.33044,0.79838,0.71246,0.75258,0.41872,1.61157,1.11565,1.84262,0.000148596,0.000148596,0.000148596
107,9537.94,0.9399,0.94108,1.32104,0.80777,0.70138,0.74855,0.41227,1.61834,1.12696,1.84414,0.000139431,0.000139431,0.000139431
108,9626.94,0.9323,0.93319,1.32317,0.79829,0.71157,0.74162,0.40976,1.62374,1.12958,1.85699,0.000130265,0.000130265,0.000130265
109,9715.6,0.9322,0.93217,1.31741,0.81195,0.70178,0.75678,0.42012,1.59861,1.09745,1.84656,0.000121099,0.000121099,0.000121099
110,9804.58,0.91883,0.92055,1.31006,0.80531,0.72242,0.75685,0.41864,1.59192,1.1119,1.82526,0.000111933,0.000111933,0.000111933
111,9891.34,0.93484,0.83503,1.33536,0.76616,0.72223,0.73991,0.40852,1.62124,1.12347,1.85798,0.000102768,0.000102768,0.000102768
112,9977.57,0.91399,0.80622,1.32026,0.75384,0.72778,0.73769,0.40694,1.62172,1.14283,1.88123,9.36017e-05,9.36017e-05,9.36017e-05
113,10064,0.89299,0.78588,1.30001,0.77488,0.71455,0.74044,0.41714,1.6054,1.12373,1.84847,8.4436e-05,8.4436e-05,8.4436e-05
114,10150.4,0.90401,0.79524,1.30922,0.76796,0.72108,0.7496,0.42088,1.59996,1.10846,1.84921,7.52703e-05,7.52703e-05,7.52703e-05
115,10236.9,0.89506,0.79176,1.30656,0.77938,0.71796,0.74379,0.41748,1.59342,1.12722,1.83827,6.61045e-05,6.61045e-05,6.61045e-05
116,10323.2,0.89387,0.7797,1.29885,0.83087,0.67496,0.75262,0.41851,1.58879,1.09328,1.8404,5.69387e-05,5.69387e-05,5.69387e-05
117,10409.6,0.8894,0.77313,1.29236,0.81194,0.6906,0.75485,0.42131,1.5789,1.08629,1.83689,4.7773e-05,4.7773e-05,4.7773e-05
118,10496.1,0.879,0.76963,1.29797,0.81012,0.70728,0.74514,0.41824,1.58809,1.10447,1.84205,3.86073e-05,3.86073e-05,3.86073e-05
119,10582.5,0.87945,0.76729,1.28865,0.79384,0.70293,0.74854,0.42504,1.56568,1.09489,1.81787,2.94415e-05,2.94415e-05,2.94415e-05
120,10668.9,0.8682,0.75486,1.2846,0.80533,0.70167,0.74864,0.42504,1.57968,1.10816,1.82791,2.02757e-05,2.02757e-05,2.02757e-05
